cod_ibge_7,uf,regiao,municipio,municipio_norm,populacao_estimada,porte_municipio,ano,pessoas_total,pessoas_setor_publico,pessoas_setor_privado,prop_setor_publico_sobre_total,prop_setor_privado_sobre_total,renda_media_total,renda_media_setor_publico,renda_media_setor_privado,diferenca_renda_publico_privado_rs,diferenca_renda_publico_privado_pct,pessoas_publico_estatutario,pessoas_publico_nao_estatutario,pessoas_empresas_estatais,pessoas_trabalhador_domestico,pessoas_empregador,pessoas_conta_propria,renda_media_publico_estatutario,renda_media_publico_nao_estatutario,renda_media_empresas_estatais,renda_media_trabalhador_domestico,renda_media_empregador,renda_media_conta_propria
4217402,SC,Sul,Schroeder,schroeder,21710,pequeno_10k_50k,2022,11362,768,7704,0.06759373349762365,0.6780496391480373,2915.46,3525.09,2675.67,849.4200000000001,0.3174606734014285,567,201,42,99,297,2453,3513.28,3558.36,2163.0,1607.97,8810.55,2829.71
4217501,SC,Sul,Seara,seara,19399,pequeno_10k_50k,2022,10301,801,6535,0.07775944083098728,0.634404426754684,3117.45,3888.28,2300.21,1588.0700000000002,0.6904021806704606,554,247,34,27,361,2526,4274.37,3022.05,4403.15,1251.11,5655.77,4591.42
4217550,SC,Sul,Serra Alta,serra_alta,3370,muito_pequeno_ate_10k,2022,960,125,542,0.13020833333333334,0.5645833333333333,2576.26,3344.49,2145.33,1199.1599999999999,0.5589629567479129,68,56,,,39,254,3693.64,2918.89,,,3439.21,2985.74
4217600,SC,Sul,Siderópolis,sideropolis,14156,pequeno_10k_50k,2022,7013,693,4305,0.09881648367317838,0.6138599743333809,2637.32,3005.15,2414.01,591.1399999999999,0.24487885302877777,520,173,23,155,222,1607,3147.51,2577.25,1939.15,1073.24,4757.1,2947.64
4217709,SC,Sul,Sombrio,sombrio,31722,pequeno_10k_50k,2022,15154,1530,7641,0.10096344199551274,0.50422330737759,2683.21,3535.93,2157.29,1378.6399999999999,0.6390610441804301,1076,453,,143,942,4886,3805.57,2895.89,,1413.2,5614.04,2702.4
4217758,SC,Sul,Sul Brasil,sul_brasil,2900,muito_pequeno_ate_10k,2022,1531,143,573,0.09340300457217506,0.37426518615284127,4951.46,3852.18,2182.79,1669.3899999999999,0.7647964302566899,126,17,,12,37,766,4016.16,2637.56,,1309.53,11984.07,6943.62
4217808,SC,Sul,Taió,taio,18909,pequeno_10k_50k,2022,9822,1007,5304,0.102524944003258,0.5400122174709835,3082.2,3784.08,2371.92,1412.1599999999999,0.5953657796215723,837,171,2,155,597,2747,3993.33,2758.45,2300.0,1248.03,5326.87,3789.45
4217907,SC,Sul,Tangará,tangara,8144,muito_pequeno_ate_10k,2022,4126,410,2490,0.09936984973339796,0.6034900630150266,2852.22,3432.06,2594.6,837.46,0.3227703692283974,285,125,10,232,175,803,3364.95,3585.26,4131.86,1700.52,4615.51,3261.5
4217956,SC,Sul,Tigrinhos,tigrinhos,2535,muito_pequeno_ate_10k,2022,1024,164,505,0.16015625,0.4931640625,2385.28,2723.61,2220.92,502.69000000000005,0.22634313707832798,78,86,,132,16,206,2906.45,2558.48,,1380.46,3981.46,3039.25
4218004,SC,Sul,Tijucas,tijucas,58695,medio_50k_100k,2022,27882,2182,17469,0.07825837457858116,0.6265332472562943,3054.17,3975.33,2646.95,1328.38,0.5018530761820208,1663,519,61,265,1094,6800,4054.87,3720.6,3551.61,1653.55,6512.94,3298.66
4218103,SC,Sul,Timbé do Sul,timbe_do_sul,5503,muito_pequeno_ate_10k,2022,2915,465,1178,0.1595197255574614,0.40411663807890225,2523.48,2780.75,2134.08,646.6700000000001,0.30302050532313696,185,280,3,70,179,1020,3270.88,2457.2,1212.0,1139.16,6065.17,2334.36
4218202,SC,Sul,Timbó,timbo,49768,pequeno_10k_50k,2022,25953,2496,16166,0.096173852733788,0.6228952336916734,3006.88,3503.5,2652.41,851.0900000000001,0.3208742238190929,1623,874,80,316,1411,5453,4042.44,2502.36,3236.03,1461.63,5871.95,3173.21
4218251,SC,Sul,Timbó Grande,timbo_grande,7521,muito_pequeno_ate_10k,2022,3041,551,1761,0.18119039789542912,0.5790858270305821,2174.54,2805.41,1778.54,1026.87,0.5773668289720781,325,226,,46,83,599,2735.26,2906.44,,765.46,7628.16,2110.39
4218301,SC,Sul,Três Barras,tres_barras,20525,pequeno_10k_50k,2022,8526,909,5463,0.10661505981703026,0.6407459535538353,2334.6,2789.6,2241.96,547.6399999999999,0.2442684080001427,462,447,135,224,212,1566,3062.81,2507.41,2453.99,1085.23,5743.48,2107.29
4218350,SC,Sul,Treviso,treviso,3920,muito_pequeno_ate_10k,2022,1695,322,990,0.18997050147492625,0.584070796460177,3025.34,2447.11,3083.97,-636.8599999999997,-0.2065065483775782,66,256,,23,49,306,2688.46,2384.46,,956.7,6836.3,3029.62
