cod_ibge_7,uf,regiao,municipio,municipio_norm,populacao_estimada,porte_municipio,ano,pessoas_total,pessoas_setor_publico,pessoas_setor_privado,prop_setor_publico_sobre_total,prop_setor_privado_sobre_total,renda_media_total,renda_media_setor_publico,renda_media_setor_privado,diferenca_renda_publico_privado_rs,diferenca_renda_publico_privado_pct,pessoas_publico_estatutario,pessoas_publico_nao_estatutario,pessoas_empresas_estatais,pessoas_trabalhador_domestico,pessoas_empregador,pessoas_conta_propria,renda_media_publico_estatutario,renda_media_publico_nao_estatutario,renda_media_empresas_estatais,renda_media_trabalhador_domestico,renda_media_empregador,renda_media_conta_propria
1400209,RR,Norte,Caracaraí,caracarai,22750,pequeno_10k_50k,2022,5989,1712,1995,0.2858574052429454,0.3331107029554183,1625.99,2460.74,1329.16,1131.5799999999997,0.851349724638117,1230,482,10,168,82,2023,2858.71,1445.89,1212.0,563.81,1411.63,1311.18
1400233,RR,Norte,Caroebe,caroebe,12004,pequeno_10k_50k,2022,3854,894,1109,0.2319667877529839,0.28775298391281784,1843.09,2731.25,1381.77,1349.48,0.9766314220166887,475,420,10,140,76,1615,3278.79,2111.89,1212.0,719.88,4423.59,1601.35
1400282,RR,Norte,Iracema,iracema,10937,pequeno_10k_50k,2022,3443,1065,885,0.3093232645948301,0.2570432762126053,1748.8,2056.21,1459.44,596.77,0.4089034150084965,430,635,58,176,58,1159,2899.4,1485.87,2929.27,832.22,2279.37,1669.89
1400308,RR,Norte,Mucajaí,mucajai,20006,pequeno_10k_50k,2022,6022,1331,2108,0.2210229159747592,0.3500498173364331,1619.67,2305.86,1396.83,909.0300000000002,0.6507806962908873,741,590,21,455,118,1931,2624.69,1905.7,1679.37,895.09,3611.26,1350.02
1400407,RR,Norte,Normandia,normandia,16323,pequeno_10k_50k,2022,2588,1397,402,0.5397990726429676,0.1553323029366306,1728.43,2155.54,1343.41,812.1299999999999,0.6045287737920664,583,814,,40,9,705,2640.76,1808.24,,483.68,8041.22,1045.58
1400456,RR,Norte,Pacaraima,pacaraima,23112,pequeno_10k_50k,2022,5012,1602,1457,0.31963288108539506,0.2907023144453312,1603.12,2215.14,1305.72,909.4199999999998,0.6964892932634867,792,811,52,146,117,1584,2787.47,1655.94,3495.3,719.98,3700.17,1095.31
1400472,RR,Norte,Rorainópolis,rorainopolis,37787,pequeno_10k_50k,2022,11015,2430,4279,0.22060826146164322,0.3884702678166137,1908.36,3150.84,1484.82,1666.0200000000002,1.1220349941407042,1812,618,19,668,286,3286,3403.12,2410.75,4600.0,717.72,4676.28,1468.03
1400506,RR,Norte,São João da Baliza,sao_joao_da_baliza,9969,muito_pequeno_ate_10k,2022,3453,757,1392,0.21922965537214018,0.40312771503040834,1797.89,2756.74,1501.64,1255.0999999999997,0.83581950400895,490,267,21,50,46,1187,3121.34,2087.22,2008.34,826.57,3713.69,1496.72
1400605,RR,Norte,São Luiz,sao_luiz,7848,muito_pequeno_ate_10k,2022,2420,717,884,0.2962809917355372,0.3652892561983471,1776.53,2513.99,1463.96,1050.0299999999997,0.7172532036394434,486,231,,61,76,683,2994.16,1504.68,,724.5,4353.69,1213.33
1400704,RR,Norte,Uiramutã,uiramuta,16186,pequeno_10k_50k,2022,1175,621,174,0.5285106382978724,0.14808510638297873,1807.65,2197.08,1483.18,713.8999999999999,0.4813306544047249,401,220,,53,5,314,2427.01,1778.16,,807.68,1400.0,1384.28
1500107,PA,Norte,Abaetetuba,abaetetuba,172344,grande_acima_100k,2022,55211,8386,19603,0.15189002191592255,0.3550560576696673,1491.3,2788.98,1502.86,1286.1200000000001,0.8557816430006788,5944,2443,107,1733,1200,23881,3225.12,1727.66,2277.97,667.33,4915.0,871.6
1500131,PA,Norte,Abel Figueiredo,abel_figueiredo,6275,muito_pequeno_ate_10k,2022,2407,471,1052,0.19567926879933528,0.43705857914416285,1732.1,2466.68,1352.9,1113.7799999999997,0.8232537512011233,239,232,,203,119,560,2849.66,2073.43,,732.65,4355.49,1631.6
1500206,PA,Norte,Acará,acara,63110,medio_50k_100k,2022,14897,2158,4489,0.14486138148620528,0.30133583943075787,1118.09,2175.43,1137.26,1038.1699999999998,0.9128695285159065,1418,740,9,430,175,7623,2485.8,1580.72,1200.0,564.18,3389.2,784.48
1500305,PA,Norte,Afuá,afua,40473,pequeno_10k_50k,2022,8213,1790,1030,0.21794715694630465,0.12541093388530378,1413.92,2154.96,950.0,1204.96,1.2683789473684213,1146,645,22,205,124,5041,2259.83,1968.61,1481.27,604.72,8907.18,1093.47
1500347,PA,Norte,Água Azul do Norte,agua_azul_do_norte,17596,pequeno_10k_50k,2022,6325,918,4272,0.14513833992094863,0.6754150197628459,2075.73,2778.58,1820.42,958.1599999999999,0.5263400753672229,722,196,,141,83,911,2962.87,2098.41,,853.78,5693.87,2422.92
1500404,PA,Norte,Alenquer,alenquer,75882,medio_50k_100k,2022,18325,2357,5640,0.12862210095497953,0.3077762619372442,1272.11,2198.9,1139.02,1059.88,0.9305192182753597,1830,527,45,814,243,9206,2353.98,1660.02,1111.48,559.4,9614.77,957.7
1500503,PA,Norte,Almeirim,almeirim,36442,pequeno_10k_50k,2022,9792,2889,3071,0.29503676470588236,0.3136233660130719,1822.91,2277.93,1713.32,564.6099999999999,0.329541475030934,1328,1561,53,335,363,3061,2603.1,2001.25,1704.46,651.66,5932.12,1109.81
1500602,PA,Norte,Altamira,altamira,138749,grande_acima_100k,2022,52392,9302,23313,0.17754619025805465,0.4449725148877691,2491.17,3493.74,1975.81,1517.9299999999998,0.7682570692526103,6333,2969,277,2110,1698,15039,3664.85,3128.8,1457.25,884.96,7751.31,2280.56
1500701,PA,Norte,Anajás,anajas,30247,pequeno_10k_50k,2022,6566,1565,1888,0.23834907097167224,0.28754188242461165,1464.66,2829.32,918.1,1911.2200000000003,2.08171223178303,693,872,44,239,160,2670,3479.04,2312.94,3183.57,480.21,4404.46,934.42
1500800,PA,Norte,Ananindeua,ananindeua,509227,grande_acima_100k,2022,207042,26552,96387,0.12824451077559143,0.46554322311415075,2188.16,3876.69,1934.87,1941.8200000000002,1.003591972587306,19844,6708,1163,11976,3592,63930,4244.12,2789.68,2725.24,912.13,6475.4,1719.22
1500859,PA,Norte,Anapu,anapu,35638,pequeno_10k_50k,2022,9607,1531,4550,0.15936296450504842,0.4736129905277402,1912.77,2510.82,1587.15,923.6700000000001,0.5819676779132408,939,592,10,445,407,2663,2612.26,2349.76,2000.0,671.37,6398.74,1646.86
1500909,PA,Norte,Augusto Corrêa,augusto_correa,47912,pequeno_10k_50k,2022,8961,1872,1934,0.20890525610980917,0.21582412677156568,1177.15,2369.62,925.59,1444.0299999999997,1.5601184109594959,1055,817,29,333,189,4597,3185.61,1315.86,1310.51,485.32,3558.8,742.64
1500958,PA,Norte,Aurora do Pará,aurora_do_para,24193,pequeno_10k_50k,2022,6289,1147,2289,0.18238193671489902,0.3639688344728892,1246.1,2250.24,1249.95,1000.2899999999997,0.8002640105604222,593,554,12,295,70,2476,2681.09,1788.82,4000.0,464.16,1880.83,838.58
1501006,PA,Norte,Aveiro,aveiro,19380,pequeno_10k_50k,2022,3535,1018,801,0.287977369165488,0.22659123055162658,1388.15,2223.9,1694.01,529.8900000000001,0.3128021676377353,518,500,70,114,25,1495,2701.11,1729.27,1274.01,506.54,2644.03,708.05
1501105,PA,Norte,Bagre,bagre,35147,pequeno_10k_50k,2022,6208,1539,1180,0.24790592783505155,0.19007731958762886,1231.71,1929.04,1024.54,904.5,0.8828352236125481,390,1150,,111,95,3283,2549.67,1718.67,,591.83,3645.5,930.88
1501204,PA,Norte,Baião,baiao,56850,medio_50k_100k,2022,10320,1964,3238,0.19031007751937984,0.3137596899224806,1223.67,1946.88,1005.68,941.2000000000002,0.9358841778697002,1279,685,2,516,159,4441,2074.49,1708.6,1200.0,608.45,4241.39,1025.87
1501253,PA,Norte,Bannach,bannach,4290,muito_pequeno_ate_10k,2022,1502,290,743,0.19307589880159787,0.49467376830892146,2236.98,2188.05,1782.36,405.6900000000003,0.2276139500437624,199,91,,34,39,390,2260.28,2029.64,,1226.48,3342.16,3072.51
1501303,PA,Norte,Barcarena,barcarena,139076,grande_acima_100k,2022,49517,5551,26312,0.11210291415069572,0.531373063796272,1959.18,2560.78,2097.41,463.37000000000035,0.22092485494014058,3645,1907,502,1636,908,14583,2891.21,1929.15,2046.0,712.75,5972.35,1366.4
1501402,PA,Norte,Belém,belem,1397315,grande_acima_100k,2022,544632,81746,237857,0.15009400843138118,0.4367297551374139,2986.88,6131.32,2210.66,3920.66,1.7735246487474328,63190,18556,3228,29670,14617,168286,6789.55,3889.79,3650.16,938.88,11725.49,1966.0
1501451,PA,Norte,Belterra,belterra,19075,pequeno_10k_50k,2022,5281,955,1770,0.180836962696459,0.3351637947358455,1536.1,2246.21,1433.31,812.9000000000001,0.5671487675380762,498,458,4,289,118,2110,2707.78,1744.65,1200.0,638.15,4674.44,1216.59
1501501,PA,Norte,Benevides,benevides,68962,medio_50k_100k,2022,23368,2997,10841,0.1282523108524478,0.4639250256761383,1602.09,2247.44,1546.29,701.1500000000001,0.45344016969649936,1992,1005,10,992,244,8169,2425.35,1894.91,2101.52,860.44,3473.15,1441.35
1501576,PA,Norte,Bom Jesus do Tocantins,bom_jesus_do_tocantins,19129,pequeno_10k_50k,2022,6796,2237,2350,0.32916421424367276,0.34579164214243674,1944.2,2445.4,1508.48,936.9200000000001,0.6211020364870599,1513,724,25,354,146,1619,2609.83,2101.67,9186.24,633.21,5421.03,1756.67
1501600,PA,Norte,Bonito,bonito,12961,pequeno_10k_50k,2022,4292,565,2182,0.13164026095060577,0.5083876980428704,1333.53,2862.21,1235.25,1626.96,1.317109896782028,358,207,5,185,85,1271,3213.03,2253.87,2424.0,387.07,3654.46,801.0
1501709,PA,Norte,Bragança,braganca,132489,grande_acima_100k,2022,45731,6968,15144,0.15236928997835167,0.33115392184732456,1486.54,3265.72,1304.11,1961.61,1.5041752612893085,4329,2640,57,1551,932,20908,4026.72,2017.67,1974.9,587.26,4747.35,920.51
1501725,PA,Norte,Brasil Novo,brasil_novo,27130,pequeno_10k_50k,2022,7120,1363,3112,0.19143258426966292,0.4370786516853933,1843.85,2228.66,1255.11,973.55,0.7756690648628408,834,529,,332,197,2110,2339.13,2054.36,,816.88,3780.73,2443.27
1501758,PA,Norte,Brejo Grande do Araguaia,brejo_grande_do_araguaia,6966,muito_pequeno_ate_10k,2022,2004,474,729,0.23652694610778444,0.36377245508982037,1676.27,2089.75,1337.48,752.27,0.562453270329276,252,222,7,117,41,637,2279.77,1873.73,781.26,1030.86,5562.5,1631.7
1501782,PA,Norte,Breu Branco,breu_branco,47066,pequeno_10k_50k,2022,14324,2091,5546,0.14597877687796704,0.38718235129851997,1550.16,2603.66,1462.01,1141.6499999999999,0.7808770117851451,1535,556,41,627,154,5852,2918.4,1734.54,2867.84,824.69,2845.16,1290.25
